Year,Calendar Day,Despatch Consumption Balance (Dcb) Or Internal Consumption Balance (Icb),Type Of Mode : Pithead Or Non-Pithead,Number Of Coal Plants,Capacity Of The Coal Plant(MegaWatt),Daily Requirement(Tonne),Domestic Stock (Tonne),Imported Stock (Tonne),Normative Stock (Tonne),Percentage Of Actual Stock Vis-A-Vis Normative Stock,Total Stock,Stock Surplus/Deficit,Days of Stock Available,Domestic Dependency,Import Dependency,Risk Category
2026,2026-01-23,DCB,Pithead,18,41640.00,582.55,8149.50,0.00,9320.80,87%,8149.50,-1171.30,13.99,100.00%,0.00%,Low Buffer
2026,2026-01-23,ICB,Non-Pithead,17,18713.00,192.27,191.90,3109.80,4614.50,71%,3301.70,-1312.80,17.17,5.81%,94.19%,Moderate
2026,2026-01-22,DCB,Pithead,18,41640.00,582.55,8062.00,0.00,9320.80,86%,8062.00,-1258.80,13.84,100.00%,0.00%,Low Buffer
2026,2026-01-22,ICB,Non-Pithead,17,18713.00,192.27,183.50,3063.90,4614.50,70%,3247.40,-1367.10,16.89,5.65%,94.35%,Moderate
2026,2026-01-21,DCB,Pithead,18,41640.00,582.55,8019.60,0.00,9320.80,86%,8019.60,-1301.20,13.77,100.00%,0.00%,Low Buffer
2026,2026-01-21,ICB,Non-Pithead,17,18713.00,192.27,187.90,3070.00,4614.50,70%,3257.90,-1356.60,16.94,5.77%,94.23%,Moderate
2026,2026-01-20,DCB,Pithead,18,41640.00,582.55,7972.50,0.00,9320.80,85%,7972.50,-1348.30,13.69,100.00%,0.00%,Low Buffer
2026,2026-01-20,ICB,Non-Pithead,17,18713.00,192.27,191.20,3027.00,4614.50,69%,3218.20,-1396.30,16.74,5.94%,94.06%,Moderate
2026,2026-01-19,DCB,Pithead,18,41640.00,582.55,7965.10,0.00,9320.80,85%,7965.10,-1355.70,13.67,100.00%,0.00%,Low Buffer
2026,2026-01-19,ICB,Non-Pithead,17,18713.00,192.27,194.80,3038.80,4614.50,70%,3233.60,-1380.90,16.82,6.02%,93.98%,Moderate
2026,2026-01-18,DCB,Pithead,18,41640.00,582.55,7931.20,0.00,9320.80,85%,7931.20,-1389.60,13.61,100.00%,0.00%,Low Buffer
2026,2026-01-18,ICB,Non-Pithead,17,18713.00,192.27,198.50,3047.90,4614.50,70%,3246.40,-1368.10,16.88,6.11%,93.89%,Moderate
2026,2026-01-17,DCB,Pithead,18,41640.00,582.55,7885.50,0.00,9320.80,84%,7885.50,-1435.30,13.54,100.00%,0.00%,Low Buffer
2026,2026-01-17,ICB,Non-Pithead,17,18713.00,192.27,201.20,3026.10,4614.50,69%,3227.30,-1387.20,16.79,6.23%,93.77%,Moderate
2026,2026-01-16,DCB,Pithead,18,41640.00,582.55,7854.70,0.00,9320.80,84%,7854.70,-1466.10,13.48,100.00%,0.00%,Low Buffer
2026,2026-01-16,ICB,Non-Pithead,17,18713.00,192.27,205.20,3050.90,4614.50,70%,3256.10,-1358.40,16.94,6.30%,93.70%,Moderate
2026,2026-01-15,DCB,Pithead,18,41640.00,582.55,7850.60,0.00,9320.80,84%,7850.60,-1470.20,13.48,100.00%,0.00%,Low Buffer
2026,2026-01-15,ICB,Non-Pithead,17,18713.00,192.27,209.70,3046.40,4614.50,70%,3256.10,-1358.40,16.94,6.44%,93.56%,Moderate
2026,2026-01-14,DCB,Pithead,18,41640.00,582.55,7832.40,0.00,9320.80,84%,7832.40,-1488.40,13.45,100.00%,0.00%,Low Buffer
2026,2026-01-14,ICB,Non-Pithead,17,18713.00,192.27,207.90,3039.80,4614.50,70%,3247.70,-1366.80,16.89,6.40%,93.60%,Moderate
2026,2026-01-13,DCB,Pithead,18,41640.00,582.55,7817.20,0.00,9320.80,83%,7817.20,-1503.60,13.42,100.00%,0.00%,Low Buffer
2026,2026-01-13,ICB,Non-Pithead,17,18713.00,192.27,215.30,3062.60,4614.50,71%,3277.90,-1336.60,17.05,6.57%,93.43%,Moderate
2026,2026-01-12,DCB,Pithead,18,41640.00,582.55,7796.70,0.00,9320.80,83%,7796.70,-1524.10,13.38,100.00%,0.00%,Low Buffer
