Year,Calendar Day,Despatch Consumption Balance (Dcb) Or Internal Consumption Balance (Icb),Type Of Mode : Pithead Or Non-Pithead,"Number Of Coal Plants (UOM:Number), Scaling Factor:1","Capacity Of The Coal Plant (UOM:MW(MegaWatt)), Scaling Factor:1","Daily Requirement (UOM:t(Tonne)), Scaling Factor:1000","Domestic Stock (UOM:t(Tonne)), Scaling Factor:1000","Imported Stock  (UOM:t(Tonne)), Scaling Factor:1000","Normative Stock (UOM:t(Tonne)), Scaling Factor:1000","Percentage Of Actual Stock Vis-A-Vis Normative Stock  (UOM:%(Percentage)), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2026",2026-01-20,DCB,Pithead,18,41640.0,582.55,7972.5,0.0,9320.8,85
"Calendar Year (Jan - Dec), 2026",2026-01-20,ICB,Non-Pithead,17,18713.0,192.27,191.2,3027.0,4614.5,69
"Calendar Year (Jan - Dec), 2026",2026-01-19,DCB,Pithead,18,41640.0,582.55,7965.1,0.0,9320.8,85
"Calendar Year (Jan - Dec), 2026",2026-01-19,ICB,Non-Pithead,17,18713.0,192.27,194.8,3038.8,4614.5,70
"Calendar Year (Jan - Dec), 2026",2026-01-18,DCB,Pithead,18,41640.0,582.55,7931.2,0.0,9320.8,85
"Calendar Year (Jan - Dec), 2026",2026-01-18,ICB,Non-Pithead,17,18713.0,192.27,198.5,3047.9,4614.5,70
"Calendar Year (Jan - Dec), 2026",2026-01-17,DCB,Pithead,18,41640.0,582.55,7885.5,0.0,9320.8,84
"Calendar Year (Jan - Dec), 2026",2026-01-17,ICB,Non-Pithead,17,18713.0,192.27,201.2,3026.1,4614.5,69
"Calendar Year (Jan - Dec), 2026",2026-01-16,DCB,Pithead,18,41640.0,582.55,7854.7,0.0,9320.8,84
"Calendar Year (Jan - Dec), 2026",2026-01-16,ICB,Non-Pithead,17,18713.0,192.27,205.2,3050.9,4614.5,70
"Calendar Year (Jan - Dec), 2026",2026-01-15,DCB,Pithead,18,41640.0,582.55,7850.6,0.0,9320.8,84
"Calendar Year (Jan - Dec), 2026",2026-01-15,ICB,Non-Pithead,17,18713.0,192.27,209.7,3046.4,4614.5,70
"Calendar Year (Jan - Dec), 2026",2026-01-14,DCB,Pithead,18,41640.0,582.55,7832.4,0.0,9320.8,84
"Calendar Year (Jan - Dec), 2026",2026-01-14,ICB,Non-Pithead,17,18713.0,192.27,207.9,3039.8,4614.5,70
"Calendar Year (Jan - Dec), 2026",2026-01-13,DCB,Pithead,18,41640.0,582.55,7817.2,0.0,9320.8,83
"Calendar Year (Jan - Dec), 2026",2026-01-13,ICB,Non-Pithead,17,18713.0,192.27,215.3,3062.6,4614.5,71
"Calendar Year (Jan - Dec), 2026",2026-01-12,DCB,Pithead,18,41640.0,582.55,7796.7,0.0,9320.8,83
"Calendar Year (Jan - Dec), 2026",2026-01-12,ICB,Non-Pithead,17,18713.0,192.27,214.2,3069.1,4614.5,71
"Calendar Year (Jan - Dec), 2026",2026-01-11,DCB,Pithead,18,41640.0,582.55,7812.3,0.0,9320.8,83
"Calendar Year (Jan - Dec), 2026",2026-01-11,ICB,Non-Pithead,17,18713.0,192.27,215.2,3062.5,4614.5,71
"Calendar Year (Jan - Dec), 2026",2026-01-10,DCB,Pithead,18,41640.0,582.55,7792.1,0.0,9320.8,83
"Calendar Year (Jan - Dec), 2026",2026-01-10,ICB,Non-Pithead,17,18713.0,192.27,217.8,3048.8,4614.5,70
"Calendar Year (Jan - Dec), 2026",2026-01-09,DCB,Pithead,18,41640.0,582.55,7771.3,0.0,9320.8,83
"Calendar Year (Jan - Dec), 2026",2026-01-09,ICB,Non-Pithead,17,18713.0,192.27,214.5,3008.9,4614.5,69
"Calendar Year (Jan - Dec), 2026",2026-01-08,DCB,Pithead,18,41640.0,582.55,7749.9,0.0,9320.8,83
"Calendar Year (Jan - Dec), 2026",2026-01-08,ICB,Non-Pithead,17,18713.0,192.27,212.6,2965.8,4614.5,68
"Calendar Year (Jan - Dec), 2026",2026-01-06,DCB,Pithead,18,41640.0,582.55,7742.8,0.0,9320.8,83
"Calendar Year (Jan - Dec), 2026",2026-01-06,ICB,Non-Pithead,17,18713.0,192.27,204.6,2933.9,4614.5,68
"Calendar Year (Jan - Dec), 2025",2025-12-29,DCB,Pithead,18,41640.0,582.55,8075.5,0.0,8738.1,92
"Calendar Year (Jan - Dec), 2025",2025-12-29,ICB,Non-Pithead,18,20033.0,207.67,446.5,3133.1,4776.6,74
"Calendar Year (Jan - Dec), 2025",2025-12-28,DCB,Pithead,18,41640.0,582.55,8117.3,0.0,8738.1,92
"Calendar Year (Jan - Dec), 2025",2025-12-28,ICB,Non-Pithead,18,20033.0,207.67,451.5,3137.8,4776.6,75
"Calendar Year (Jan - Dec), 2025",2025-12-27,DCB,Pithead,18,41640.0,582.55,8146.0,0.0,8738.1,93
"Calendar Year (Jan - Dec), 2025",2025-12-27,ICB,Non-Pithead,18,20033.0,207.67,444.0,3133.2,4776.6,74
"Calendar Year (Jan - Dec), 2025",2025-12-26,DCB,Pithead,18,41640.0,582.55,8178.1,0.0,8738.1,93
"Calendar Year (Jan - Dec), 2025",2025-12-26,ICB,Non-Pithead,18,20033.0,207.67,441.8,3116.9,4776.6,74
"Calendar Year (Jan - Dec), 2025",2025-12-16,DCB,Pithead,18,41640.0,582.55,8145.9,0.0,8738.1,93
"Calendar Year (Jan - Dec), 2025",2025-12-16,ICB,Non-Pithead,17,18713.0,192.27,248.7,3129.3,4422.3,76
"Calendar Year (Jan - Dec), 2025",2025-12-15,DCB,Pithead,18,41640.0,582.55,8101.1,0.0,8738.1,92
"Calendar Year (Jan - Dec), 2025",2025-12-15,ICB,Non-Pithead,17,18713.0,192.27,254.0,3132.2,4422.3,76
"Calendar Year (Jan - Dec), 2025",2025-12-14,DCB,Pithead,18,41640.0,582.55,8090.7,0.0,8738.1,92
"Calendar Year (Jan - Dec), 2025",2025-12-14,ICB,Non-Pithead,17,18713.0,192.27,260.4,3139.9,4422.3,76
"Calendar Year (Jan - Dec), 2025",2025-12-12,DCB,Pithead,18,41640.0,582.55,8035.0,0.0,8738.1,91
"Calendar Year (Jan - Dec), 2025",2025-12-12,ICB,Non-Pithead,17,18713.0,192.27,238.6,3099.8,4422.3,75
"Calendar Year (Jan - Dec), 2025",2025-12-11,DCB,Pithead,18,41640.0,582.55,7994.6,0.0,8738.1,91
"Calendar Year (Jan - Dec), 2025",2025-12-11,ICB,Non-Pithead,17,18713.0,192.27,229.1,3092.8,4422.3,75
"Calendar Year (Jan - Dec), 2025",2025-12-10,DCB,Pithead,18,41640.0,582.55,7968.6,0.0,8738.1,91
"Calendar Year (Jan - Dec), 2025",2025-12-10,ICB,Non-Pithead,17,18713.0,192.27,221.0,3106.4,4422.3,75
"Calendar Year (Jan - Dec), 2025",2025-12-09,DCB,Pithead,18,41640.0,582.55,7930.2,0.0,8738.1,90
"Calendar Year (Jan - Dec), 2025",2025-12-09,ICB,Non-Pithead,17,18713.0,192.27,222.1,3124.1,4422.3,75
"Calendar Year (Jan - Dec), 2025",2025-12-08,DCB,Pithead,18,41640.0,582.55,7887.8,0.0,8738.1,90
"Calendar Year (Jan - Dec), 2025",2025-12-08,ICB,Non-Pithead,17,18713.0,192.27,227.3,3133.4,4422.3,75
"Calendar Year (Jan - Dec), 2025",2025-12-07,DCB,Pithead,18,41640.0,582.55,7865.1,0.0,8738.1,90
"Calendar Year (Jan - Dec), 2025",2025-12-07,ICB,Non-Pithead,17,18713.0,192.27,232.2,3132.6,4422.3,76
"Calendar Year (Jan - Dec), 2025",2025-12-06,DCB,Pithead,18,41640.0,582.55,7804.0,0.0,8738.1,89
"Calendar Year (Jan - Dec), 2025",2025-12-06,ICB,Non-Pithead,17,18713.0,192.27,234.5,3117.8,4422.3,75
"Calendar Year (Jan - Dec), 2025",2025-12-05,DCB,Pithead,18,41640.0,582.55,7777.7,0.0,8738.1,89
"Calendar Year (Jan - Dec), 2025",2025-12-05,ICB,Non-Pithead,17,18713.0,192.27,238.6,3101.2,4422.3,75
"Calendar Year (Jan - Dec), 2025",2025-12-04,DCB,Pithead,18,41640.0,582.55,7730.9,0.0,8738.1,88
"Calendar Year (Jan - Dec), 2025",2025-12-04,ICB,Non-Pithead,17,18713.0,192.27,241.9,3065.5,4422.3,74
"Calendar Year (Jan - Dec), 2025",2025-12-03,DCB,Pithead,18,41640.0,582.55,7700.4,0.0,8738.1,88
"Calendar Year (Jan - Dec), 2025",2025-12-03,ICB,Non-Pithead,17,18713.0,192.27,247.7,3042.7,4422.3,74
"Calendar Year (Jan - Dec), 2025",2025-12-01,DCB,Pithead,18,41640.0,582.55,7682.5,0.0,8738.1,87
"Calendar Year (Jan - Dec), 2025",2025-12-01,ICB,Non-Pithead,17,18713.0,192.27,256.6,2930.4,4422.3,72
"Calendar Year (Jan - Dec), 2025",2025-11-30,DCB,Pithead,18,41640.0,582.55,7670.5,0.0,8155.4,94
"Calendar Year (Jan - Dec), 2025",2025-11-30,ICB,Non-Pithead,17,18713.0,192.27,260.5,2893.7,4229.9,74
"Calendar Year (Jan - Dec), 2025",2025-11-29,DCB,Pithead,18,41640.0,582.55,7623.9,0.0,8155.4,93
"Calendar Year (Jan - Dec), 2025",2025-11-29,ICB,Non-Pithead,17,18713.0,192.27,262.8,2885.9,4229.9,74
"Calendar Year (Jan - Dec), 2025",2025-11-28,DCB,Pithead,18,41640.0,582.55,7610.1,0.0,8155.4,93
"Calendar Year (Jan - Dec), 2025",2025-11-28,ICB,Non-Pithead,17,18713.0,192.27,266.0,2912.9,4229.9,75
"Calendar Year (Jan - Dec), 2025",2025-11-27,DCB,Pithead,18,41640.0,582.55,7622.8,0.0,8155.4,93
"Calendar Year (Jan - Dec), 2025",2025-11-27,ICB,Non-Pithead,17,18713.0,192.27,270.3,2941.7,4229.9,75
"Calendar Year (Jan - Dec), 2025",2025-11-26,DCB,Pithead,18,41640.0,582.55,7632.5,0.0,8155.4,93
"Calendar Year (Jan - Dec), 2025",2025-11-26,ICB,Non-Pithead,17,18713.0,192.27,272.3,2959.4,4229.9,76
"Calendar Year (Jan - Dec), 2025",2025-11-25,DCB,Pithead,18,41640.0,582.55,7658.8,0.0,8155.4,93
"Calendar Year (Jan - Dec), 2025",2025-11-25,ICB,Non-Pithead,17,18713.0,192.27,274.4,2972.4,4229.9,76
"Calendar Year (Jan - Dec), 2025",2025-11-24,DCB,Pithead,18,41640.0,582.55,7647.4,0.0,8155.4,93
"Calendar Year (Jan - Dec), 2025",2025-11-24,ICB,Non-Pithead,17,18713.0,192.27,277.8,2992.3,4229.9,77
"Calendar Year (Jan - Dec), 2025",2025-11-23,DCB,Pithead,18,41640.0,582.55,7615.4,0.0,8155.4,93
"Calendar Year (Jan - Dec), 2025",2025-11-23,ICB,Non-Pithead,17,18713.0,192.27,280.1,3017.7,4229.9,77
"Calendar Year (Jan - Dec), 2025",2025-11-22,DCB,Pithead,18,41640.0,582.55,7602.5,0.0,8155.4,93
"Calendar Year (Jan - Dec), 2025",2025-11-22,ICB,Non-Pithead,17,18713.0,192.27,282.4,3039.9,4229.9,78
"Calendar Year (Jan - Dec), 2025",2025-11-21,DCB,Pithead,18,41640.0,582.55,7583.4,0.0,8155.4,92
"Calendar Year (Jan - Dec), 2025",2025-11-21,ICB,Non-Pithead,17,18713.0,192.27,284.5,3025.9,4229.9,78
"Calendar Year (Jan - Dec), 2025",2025-11-20,DCB,Pithead,18,41640.0,582.55,7584.6,0.0,8155.4,93
"Calendar Year (Jan - Dec), 2025",2025-11-20,ICB,Non-Pithead,17,18713.0,192.27,286.7,3015.9,4229.9,78
"Calendar Year (Jan - Dec), 2025",2025-11-19,DCB,Pithead,18,41640.0,582.55,7540.6,0.0,8155.4,92
"Calendar Year (Jan - Dec), 2025",2025-11-19,ICB,Non-Pithead,17,18713.0,192.27,287.2,3000.2,4229.9,77
"Calendar Year (Jan - Dec), 2025",2025-11-18,DCB,Pithead,18,41640.0,582.55,7527.7,0.0,8155.4,92
"Calendar Year (Jan - Dec), 2025",2025-11-18,ICB,Non-Pithead,17,18713.0,192.27,288.7,3035.6,4229.9,78
"Calendar Year (Jan - Dec), 2025",2025-11-17,DCB,Pithead,18,41640.0,582.55,7581.2,0.0,8155.4,92
"Calendar Year (Jan - Dec), 2025",2025-11-17,ICB,Non-Pithead,17,18713.0,192.27,279.3,3051.3,4229.9,78
"Calendar Year (Jan - Dec), 2025",2025-11-16,DCB,Pithead,18,41640.0,582.55,7621.8,0.0,8155.4,93
"Calendar Year (Jan - Dec), 2025",2025-11-16,ICB,Non-Pithead,17,18713.0,192.27,268.1,3062.2,4229.9,78
"Calendar Year (Jan - Dec), 2025",2025-11-13,DCB,Pithead,18,41640.0,582.55,7515.2,0.0,8155.4,92
"Calendar Year (Jan - Dec), 2025",2025-11-13,ICB,Non-Pithead,17,18713.0,192.27,243.1,3100.7,4229.9,79
"Calendar Year (Jan - Dec), 2025",2025-11-12,DCB,Pithead,18,41640.0,582.55,7479.8,0.0,8155.4,91
"Calendar Year (Jan - Dec), 2025",2025-11-12,ICB,Non-Pithead,17,18713.0,192.27,230.8,3114.3,4229.9,79
"Calendar Year (Jan - Dec), 2025",2025-11-11,DCB,Pithead,18,41640.0,582.55,7452.7,0.0,8155.4,91
"Calendar Year (Jan - Dec), 2025",2025-11-11,ICB,Non-Pithead,17,18713.0,192.27,224.4,3121.6,4229.9,79
"Calendar Year (Jan - Dec), 2025",2025-11-10,DCB,Pithead,18,41640.0,582.55,7447.6,0.0,8155.4,91
"Calendar Year (Jan - Dec), 2025",2025-11-10,ICB,Non-Pithead,17,18713.0,192.27,223.9,3107.9,4229.9,78
"Calendar Year (Jan - Dec), 2025",2025-11-09,DCB,Pithead,18,41640.0,582.55,7417.3,0.0,8155.4,90
"Calendar Year (Jan - Dec), 2025",2025-11-09,ICB,Non-Pithead,17,18713.0,192.27,220.2,3093.8,4229.9,78
"Calendar Year (Jan - Dec), 2025",2025-11-06,DCB,Pithead,18,41640.0,582.55,7307.2,0.0,8155.4,89
"Calendar Year (Jan - Dec), 2025",2025-11-06,ICB,Non-Pithead,17,18669.0,191.89,225.7,2987.5,4221.6,76
"Calendar Year (Jan - Dec), 2025",2025-11-05,DCB,Pithead,18,41640.0,582.55,7306.5,0.0,8155.4,89
"Calendar Year (Jan - Dec), 2025",2025-11-05,ICB,Non-Pithead,17,18669.0,191.89,229.4,2994.3,4221.6,76
"Calendar Year (Jan - Dec), 2025",2025-11-04,DCB,Pithead,18,41640.0,582.55,7267.5,0.0,8155.4,89
"Calendar Year (Jan - Dec), 2025",2025-11-04,ICB,Non-Pithead,17,18669.0,191.89,233.0,2999.8,4221.6,76
"Calendar Year (Jan - Dec), 2025",2025-11-03,DCB,Pithead,18,41640.0,582.55,7218.4,0.0,8155.4,88
"Calendar Year (Jan - Dec), 2025",2025-11-03,ICB,Non-Pithead,17,18669.0,191.89,236.6,2979.4,4221.6,76
"Calendar Year (Jan - Dec), 2025",2025-11-02,DCB,Pithead,18,41640.0,582.55,7196.5,0.0,8155.4,88
"Calendar Year (Jan - Dec), 2025",2025-11-02,ICB,Non-Pithead,17,18669.0,191.89,238.4,2952.6,4221.6,75
"Calendar Year (Jan - Dec), 2025",2025-11-01,DCB,Pithead,18,41640.0,582.55,7138.3,0.0,8155.4,87
"Calendar Year (Jan - Dec), 2025",2025-11-01,ICB,Non-Pithead,17,18669.0,191.89,238.4,2938.9,4221.6,75
"Calendar Year (Jan - Dec), 2025",2025-10-27,DCB,Pithead,18,41640.0,582.55,7035.0,0.0,7573.1,92
"Calendar Year (Jan - Dec), 2025",2025-10-27,ICB,Non-Pithead,17,18669.0,191.89,204.4,3037.6,4029.7,80
"Calendar Year (Jan - Dec), 2025",2025-10-26,DCB,Pithead,18,41640.0,582.55,7043.8,0.0,7573.1,93
"Calendar Year (Jan - Dec), 2025",2025-10-26,ICB,Non-Pithead,17,18669.0,191.89,204.4,3074.0,4029.7,81
"Calendar Year (Jan - Dec), 2025",2025-10-25,DCB,Pithead,18,41640.0,582.55,7018.1,0.0,7573.1,92
