Year,Calendar Day,Despatch Consumption Balance (Dcb) Or Internal Consumption Balance (Icb),Type Of Mode : Pithead Or Non-Pithead,"Number Of Coal Plants (UOM:Number), Scaling Factor:1","Capacity Of The Coal Plant (UOM:MW(MegaWatt)), Scaling Factor:1","Daily Requirement (UOM:t(Tonne)), Scaling Factor:1000","Domestic Stock (UOM:t(Tonne)), Scaling Factor:1000","Imported Stock  (UOM:t(Tonne)), Scaling Factor:1000","Normative Stock (UOM:t(Tonne)), Scaling Factor:1000","Percentage Of Actual Stock Vis-A-Vis Normative Stock  (UOM:%(Percentage)), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2024",2024-04-05,DCB,Pithead,18,40980.000000000000,557.2474040625375000,8396.0700000000000000,115.7700000000000100,9473.2058690631370000,0.89851736757852030000
"Calendar Year (Jan - Dec), 2024",2024-04-05,DCB,Non-Pithead,150,152020.500000000000,2163.7979835729566000,36649.390000000014,1772.4400000000005000,56258.747572896886,0.68294854858287050000
"Calendar Year (Jan - Dec), 2024",2024-04-05,ICB,Non-Pithead,17,17969.0000000000000000,184.1198280359463700,30.6200000000000000,2552.5800000000004000,4787.1155289346060000,0.53961513658620710000
"Calendar Year (Jan - Dec), 2024",2024-04-04,DCB,Pithead,18,40980.000000000000,557.2474040625375000,8428.2799999999990000,117.5300000000000000,9473.2058690631370000,0.90210327085873280000
"Calendar Year (Jan - Dec), 2024",2024-04-04,DCB,Non-Pithead,150,152020.500000000000,2163.7979835729566000,36819.500000000010,1822.1400000000000000,56258.747572896886,0.68685567430967710000
"Calendar Year (Jan - Dec), 2024",2024-04-04,ICB,Non-Pithead,17,17969.0000000000000000,184.1198280359463700,30.6400000000000000,2546.8199999999997000,4787.1155289346060000,0.53841608468004210000
"Calendar Year (Jan - Dec), 2024",2024-04-03,DCB,Pithead,18,40980.000000000000,557.2474040625375000,8484.6800000000020000,120.3800000000000100,9473.2058690631370000,0.90835775332421930000
"Calendar Year (Jan - Dec), 2024",2024-04-03,DCB,Non-Pithead,150,152020.500000000000,2163.7979835729566000,36965.909999999974,1858.2300000000000000,56258.747572896886,0.69009979203134350000
"Calendar Year (Jan - Dec), 2024",2024-04-03,ICB,Non-Pithead,17,17969.0000000000000000,184.1198280359463700,31.7000000000000000,2558.6199999999994000,4787.1155289346060000,0.54110246229559600000
"Calendar Year (Jan - Dec), 2024",2024-04-02,DCB,Pithead,18,40980.000000000000,557.2474040625375000,8540.7300000000000000,123.9800000000000000,9473.2058690631370000,0.91465446014390350000
"Calendar Year (Jan - Dec), 2024",2024-04-02,DCB,Non-Pithead,150,152020.500000000000,2163.7979835729566000,37174.709999999990,1899.8899999999999000,56258.747572896886,0.69455154417309680000
"Calendar Year (Jan - Dec), 2024",2024-04-02,ICB,Non-Pithead,17,17969.0000000000000000,184.1198280359463700,32.4100000000000000,2616.7800000000007000,4787.1155289346060000,0.55340005562589580000
"Calendar Year (Jan - Dec), 2024",2024-04-01,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8598.9900000000000000,122.1300000000000100,9522.1287069373680000,0.91587923965428120000
"Calendar Year (Jan - Dec), 2024",2024-04-01,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,37211.960000000014,1896.8599999999997000,55065.146323454000,0.71022784122417430000
"Calendar Year (Jan - Dec), 2024",2024-04-01,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,32.9800000000000000,2645.7900000000000000,4672.1983250176200000,0.57334252821767740000
"Calendar Year (Jan - Dec), 2024",2024-03-31,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8604.3300000000020000,119.1600000000000000,9522.1287069373680000,0.91612813358051790000
"Calendar Year (Jan - Dec), 2024",2024-03-31,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,37189.320000000000,1867.5700000000000000,55065.146323454000,0.70928495804912480000
"Calendar Year (Jan - Dec), 2024",2024-03-31,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,33.4200000000000000,2880.4600000000005000,4672.1983250176200000,0.62366359415811220000
"Calendar Year (Jan - Dec), 2024",2024-03-30,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8588.8600000000000000,121.0300000000000000,9522.1287069373680000,0.91469988151435000000
"Calendar Year (Jan - Dec), 2024",2024-03-30,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,36795.340000000004,1878.3499999999997000,55065.146323454000,0.70232629135006320000
"Calendar Year (Jan - Dec), 2024",2024-03-30,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,33.5400000000000000,2908.7599999999998000,4672.1983250176200000,0.62974638389069320000
"Calendar Year (Jan - Dec), 2024",2024-03-29,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8613.0100000000000000,118.7899999999999900,9522.1287069373680000,0.91700083760036000000
"Calendar Year (Jan - Dec), 2024",2024-03-29,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,36599.119999999995,1823.8500000000004000,55065.146323454000,0.69777295740399100000
"Calendar Year (Jan - Dec), 2024",2024-03-29,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,33.8000000000000000,2941.8000000000000000,4672.1983250176200000,0.63687364983351360000
"Calendar Year (Jan - Dec), 2024",2024-03-28,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8621.9800000000000000,120.7599999999999900,9522.1287069373680000,0.91814974036535090000
"Calendar Year (Jan - Dec), 2024",2024-03-28,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,36641.630000000005,1825.5899999999995000,55065.146323454000,0.69857655101908980000
"Calendar Year (Jan - Dec), 2024",2024-03-28,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,34.1100000000000000,2917.7300000000005000,4672.1983250176200000,0.63178824926890680000
"Calendar Year (Jan - Dec), 2024",2024-03-27,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8636.7000000000000000,118.8599999999999900,9522.1287069373680000,0.91949607797478270000
"Calendar Year (Jan - Dec), 2024",2024-03-27,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,36619.789999999990,1825.0700000000000000,55065.146323454000,0.69817012333308050000
"Calendar Year (Jan - Dec), 2024",2024-03-27,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,34.7700000000000000,2906.4999999999995000,4672.1983250176200000,0.62952593092008930000
"Calendar Year (Jan - Dec), 2024",2024-03-26,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8672.3800000000000000,120.8400000000000000,9522.1287069373680000,0.92345107597565650000
"Calendar Year (Jan - Dec), 2024",2024-03-26,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,36489.420000000010,1825.9100000000005000,55065.146323454000,0.69581800028160980000
"Calendar Year (Jan - Dec), 2024",2024-03-26,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,35.6400000000000000,2904.2999999999997000,4672.1983250176200000,0.62924126834639720000
"Calendar Year (Jan - Dec), 2024",2024-03-25,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8740.7400000000020000,118.9300000000000000,9522.1287069373680000,0.93042955757836690000
"Calendar Year (Jan - Dec), 2024",2024-03-25,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,36363.080000000000,1810.1199999999997000,55065.146323454000,0.69323705735329740000
"Calendar Year (Jan - Dec), 2024",2024-03-25,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,36.5400000000000000,2888.0899999999997000,4672.1983250176200000,0.62596443826878220000
"Calendar Year (Jan - Dec), 2024",2024-03-24,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8841.8500000000020000,120.7800000000000000,9522.1287069373680000,0.94124226586753200000
"Calendar Year (Jan - Dec), 2024",2024-03-24,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,36131.979999999980,1798.8100000000006000,55065.146323454000,0.68883481716717180000
"Calendar Year (Jan - Dec), 2024",2024-03-24,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,36.5400000000000000,2833.9000000000000000,4672.1983250176200000,0.61436604363090150000
"Calendar Year (Jan - Dec), 2024",2024-03-22,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8891.3500000000000000,116.1900000000000100,9522.1287069373680000,0.94595864824191430000
"Calendar Year (Jan - Dec), 2024",2024-03-22,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,35749.801999999996,1845.7700000000000000,55065.146323454000,0.68274697354226130000
"Calendar Year (Jan - Dec), 2024",2024-03-22,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,37.7400000000000000,2810.8500000000004000,4672.1983250176200000,0.60968944420595790000
"Calendar Year (Jan - Dec), 2024",2024-03-21,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8874.0300000000020000,117.4200000000000000,9522.1287069373680000,0.94426890002539680000
"Calendar Year (Jan - Dec), 2024",2024-03-21,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,35499.522000000000,1875.9299999999994000,55065.146323454000,0.67874970821753000000
"Calendar Year (Jan - Dec), 2024",2024-03-21,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,39.0000000000000000,2791.5400000000000000,4672.1983250176200000,0.60582616642013490000
"Calendar Year (Jan - Dec), 2024",2024-03-20,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8883.6699999999980000,115.3300000000000100,9522.1287069373680000,0.94506178995918810000
"Calendar Year (Jan - Dec), 2024",2024-03-20,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,35360.931999999990,1888.0000000000000000,55065.146323454000,0.67645224769219360000
"Calendar Year (Jan - Dec), 2024",2024-03-20,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,39.9500000000000000,2757.5400000000000000,4672.1983250176200000,0.59875240847988840000
"Calendar Year (Jan - Dec), 2024",2024-03-19,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8890.3200000000000000,117.2500000000000000,9522.1287069373680000,0.94596179879794250000
"Calendar Year (Jan - Dec), 2024",2024-03-19,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,35236.422000000006,1867.2500000000000000,55065.146323454000,0.67381409979467130000
"Calendar Year (Jan - Dec), 2024",2024-03-19,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,41.0300000000000000,2674.4700000000003000,4672.1983250176200000,0.58120392395580930000
"Calendar Year (Jan - Dec), 2024",2024-03-18,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8923.4400000000020000,119.6100000000000000,9522.1287069373680000,0.94968785639409250000
"Calendar Year (Jan - Dec), 2024",2024-03-18,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,35160.441999999980,1825.0700000000000000,55065.146323454000,0.67166827783851150000
"Calendar Year (Jan - Dec), 2024",2024-03-18,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,41.9100000000000000,2683.3500000000000000,4672.1983250176200000,0.58329287637628750000
"Calendar Year (Jan - Dec), 2024",2024-03-17,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8904.7699999999990000,113.8000000000000100,9522.1287069373680000,0.94711700267499010000
"Calendar Year (Jan - Dec), 2024",2024-03-17,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,34914.012000000010,1841.5000000000002000,55065.146323454000,0.66749122546769060000
"Calendar Year (Jan - Dec), 2024",2024-03-17,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,42.8400000000000000,2602.4300000000003000,4672.1983250176200000,0.56617245587279820000
"Calendar Year (Jan - Dec), 2024",2024-03-16,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8866.8300000000000000,108.4700000000000000,9522.1287069373680000,0.94257285069682210000
"Calendar Year (Jan - Dec), 2024",2024-03-16,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,34653.462000000000,1848.5600000000002000,55065.146323454000,0.66288795067548270000
"Calendar Year (Jan - Dec), 2024",2024-03-16,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,43.6400000000000000,2573.4800000000000000,4672.1983250176200000,0.56014745478299680000
"Calendar Year (Jan - Dec), 2024",2024-03-15,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8848.3900000000010000,102.8900000000000000,9522.1287069373680000,0.94005030550348740000
"Calendar Year (Jan - Dec), 2024",2024-03-15,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,34631.432000000010,1847.4499999999996000,55065.146323454000,0.66246808436178580000
"Calendar Year (Jan - Dec), 2024",2024-03-15,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,44.4400000000000000,2580.1900000000000000,4672.1983250176200000,0.56175483518031140000
"Calendar Year (Jan - Dec), 2024",2024-03-14,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8820.3100000000000000,104.9200000000000000,9522.1287069373680000,0.93731457268557010000
"Calendar Year (Jan - Dec), 2024",2024-03-14,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,34401.122000000010,1890.5199999999995000,55065.146323454000,0.65906720354145780000
"Calendar Year (Jan - Dec), 2024",2024-03-14,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,46.1230000000000000,2635.4520000000000000,4672.1983250176200000,0.57394288800655470000
"Calendar Year (Jan - Dec), 2024",2024-03-13,DCB,Pithead,18,40980.000000000000,560.1252180551394000,8855.4100000000000000,93.8100000000000000,9522.1287069373680000,0.93983396732287650000
"Calendar Year (Jan - Dec), 2024",2024-03-13,DCB,Non-Pithead,150,152020.500000000000,2117.8902432097693000,34244.022000000000,1901.6000000000000000,55065.146323454000,0.65641543541317040000
"Calendar Year (Jan - Dec), 2024",2024-03-13,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,46.1230000000000000,2657.7520000000004000,4672.1983250176200000,0.57871580183613100000
"Calendar Year (Jan - Dec), 2024",2024-03-12,DCB,Pithead,18,40320.000000000000,551.1043380551394000,8871.0800000000000000,87.8700000000000000,9368.7737469373680000,0.95625641540640930000
"Calendar Year (Jan - Dec), 2024",2024-03-12,DCB,Non-Pithead,148,150700.500000000000,2099.8484832097693000,33840.815999999984,1899.2999999999997000,54596.060563454004,0.65462811109715880000
"Calendar Year (Jan - Dec), 2024",2024-03-12,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,46.9420000000000000,2684.2850000000003000,4672.1983250176200000,0.58457000538171720000
"Calendar Year (Jan - Dec), 2024",2024-03-10,DCB,Pithead,18,40320.000000000000,551.1043380551394000,8930.0000000000000000,84.4200000000000000,9368.7737469373680000,0.96217714756392690000
"Calendar Year (Jan - Dec), 2024",2024-03-10,DCB,Non-Pithead,148,150700.500000000000,2099.8484832097693000,33583.894999999990,1907.1799999999998000,54596.060563454004,0.65006659150344110000
"Calendar Year (Jan - Dec), 2024",2024-03-10,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,48.9350000000000000,2728.8660000000004000,4672.1983250176200000,0.59453833222919210000
"Calendar Year (Jan - Dec), 2024",2024-03-09,DCB,Pithead,18,40320.000000000000,551.1043380551394000,8903.4700000000000000,86.4000000000000000,9368.7737469373680000,0.95955674059679030000
"Calendar Year (Jan - Dec), 2024",2024-03-09,DCB,Non-Pithead,148,150700.500000000000,2099.8484832097693000,33180.335000000014,1901.0200000000004000,54596.060563454004,0.64256183757483550000
"Calendar Year (Jan - Dec), 2024",2024-03-09,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,54.6370000000000000,2725.4420000000005000,4672.1983250176200000,0.59502589714864380000
"Calendar Year (Jan - Dec), 2024",2024-03-08,DCB,Pithead,18,40320.000000000000,551.1043380551394000,8913.3399999999980000,81.0299999999999900,9368.7737469373680000,0.96003705959280300000
"Calendar Year (Jan - Dec), 2024",2024-03-08,DCB,Non-Pithead,148,150700.500000000000,2099.8484832097693000,32906.375000000010,1887.4900000000005000,54596.060563454004,0.63729643935684650000
"Calendar Year (Jan - Dec), 2024",2024-03-08,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,54.6370000000000000,2737.5620000000000000,4672.1983250176200000,0.59761996511341790000
"Calendar Year (Jan - Dec), 2024",2024-03-07,DCB,Pithead,18,40320.000000000000,551.1043380551394000,8960.2000000000000000,83.1799999999999900,9368.7737469373680000,0.96526826714715600000
"Calendar Year (Jan - Dec), 2024",2024-03-07,DCB,Non-Pithead,148,150700.500000000000,2099.8484832097693000,32724.394999999986,1829.9600000000003000,54596.060563454004,0.63290930963488390000
"Calendar Year (Jan - Dec), 2024",2024-03-07,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,54.6370000000000000,2757.6520000000000000,4672.1983250176200000,0.60191986820024260000
"Calendar Year (Jan - Dec), 2024",2024-03-06,DCB,Pithead,18,40320.000000000000,551.1043380551394000,8971.4700000000000000,84.3999999999999900,9368.7737469373680000,0.96660141920497800000
"Calendar Year (Jan - Dec), 2024",2024-03-06,DCB,Non-Pithead,148,150700.500000000000,2099.8484832097693000,32582.385000000010,1834.8800000000000000,54596.060563454004,0.63039795627742630000
"Calendar Year (Jan - Dec), 2024",2024-03-06,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,54.6370000000000000,2771.6620000000000000,4672.1983250176200000,0.60491845666447410000
"Calendar Year (Jan - Dec), 2024",2024-03-05,DCB,Pithead,18,40320.000000000000,551.1043380551394000,8987.4800000000010000,83.7800000000000000,9368.7737469373680000,0.96824411017134190000
"Calendar Year (Jan - Dec), 2024",2024-03-05,DCB,Non-Pithead,148,150700.500000000000,2099.8484832097693000,32374.735000000000,1830.4600000000003000,54596.060563454004,0.62651397641126820000
"Calendar Year (Jan - Dec), 2024",2024-03-05,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,54.6370000000000000,2730.2520000000000000,4672.1983250176200000,0.59605539111816220000
"Calendar Year (Jan - Dec), 2024",2024-03-04,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9054.0700000000000000,83.2800000000000000,9368.7737469373680000,0.97529839515944980000
"Calendar Year (Jan - Dec), 2024",2024-03-04,DCB,Non-Pithead,148,150700.500000000000,2099.8484832097693000,32111.595000000000,1819.7099999999998000,54596.060563454004,0.62149731408850470000
"Calendar Year (Jan - Dec), 2024",2024-03-04,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,72.1750000000000000,2672.1300000000000000,4672.1983250176200000,0.58736911601235390000
"Calendar Year (Jan - Dec), 2024",2024-03-03,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9086.9800000000000000,82.9000000000000000,9368.7737469373680000,0.97877056781284890000
"Calendar Year (Jan - Dec), 2024",2024-03-03,DCB,Non-Pithead,148,150700.500000000000,2099.8484832097693000,31851.611000000008,1808.3699999999994000,54596.060563454004,0.61652765149380810000
"Calendar Year (Jan - Dec), 2024",2024-03-03,ICB,Non-Pithead,17,17969.0000000000000000,179.6999355776007700,0.00000000000000000000,2669.8779999999997000,4672.1983250176200000,0.57143935558213510000
"Calendar Year (Jan - Dec), 2024",2024-02-29,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9106.3699999999990000,99.8500000000000000,9368.7737469373680000,0.98264941054953890000
"Calendar Year (Jan - Dec), 2024",2024-02-29,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097690000,31101.360999999994,1785.0399999999995000,54311.766163454010,0.60551135275230670000
"Calendar Year (Jan - Dec), 2024",2024-02-29,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2483.9900000000000000,4562.4055250176190000,0.54444743817252130000
"Calendar Year (Jan - Dec), 2024",2024-02-28,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9106.0300000000000000,101.4000000000000000,9368.7737469373680000,0.98277856299068910000
"Calendar Year (Jan - Dec), 2024",2024-02-28,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097690000,30966.061000000000,1789.4799999999996000,54311.766163454010,0.60310229833845760000
"Calendar Year (Jan - Dec), 2024",2024-02-28,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2476.4400000000000000,4562.4055250176190000,0.54279260938568950000
"Calendar Year (Jan - Dec), 2024",2024-02-27,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9101.0999999999990000,104.2500000000000000,9368.7737469373680000,0.98255654887697630000
"Calendar Year (Jan - Dec), 2024",2024-02-27,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097690000,30675.241000000010,1751.3000000000002000,54311.766163454010,0.59704449497021870000
"Calendar Year (Jan - Dec), 2024",2024-02-27,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2443.7800000000007000,4562.4055250176190000,0.53563410499126190000
"Calendar Year (Jan - Dec), 2024",2024-02-26,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9130.0600000000010000,97.5400000000000000,9368.7737469373680000,0.98493145946837310000
"Calendar Year (Jan - Dec), 2024",2024-02-26,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097690000,30429.410999999990,1761.0300000000007000,54311.766163454010,0.59269718651979140000
"Calendar Year (Jan - Dec), 2024",2024-02-26,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2427.3499999999995000,4562.4055250176190000,0.53203293453197050000
"Calendar Year (Jan - Dec), 2024",2024-02-25,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9108.3999999999980000,92.3100000000000000,9368.7737469373680000,0.98206128662330970000
"Calendar Year (Jan - Dec), 2024",2024-02-25,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097690000,30117.410999999996,1695.0400000000004000,54311.766163454010,0.58573773690693130000
"Calendar Year (Jan - Dec), 2024",2024-02-25,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2402.0199999999995000,4562.4055250176190000,0.52648103874780470000
"Calendar Year (Jan - Dec), 2024",2024-02-23,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9108.5000000000020000,100.3700000000000000,9368.7737469373680000,0.98293226506941320000
"Calendar Year (Jan - Dec), 2024",2024-02-23,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097683000,29736.796000000010,1611.5200000000000000,54311.766163454000,0.57719198277691190000
"Calendar Year (Jan - Dec), 2024",2024-02-23,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2332.6300000000000000,4562.4055250176190000,0.51127195669240570000
"Calendar Year (Jan - Dec), 2024",2024-02-22,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9123.5899999999980000,63.9800000000000000,9368.7737469373680000,0.98065875515495240000
"Calendar Year (Jan - Dec), 2024",2024-02-22,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097683000,29606.525999999990,1610.2900000000000000,54311.766163454000,0.57477077630013740000
"Calendar Year (Jan - Dec), 2024",2024-02-22,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2334.2600000000000000,4562.4055250176190000,0.51162922436426470000
"Calendar Year (Jan - Dec), 2024",2024-02-21,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9099.4199999999980000,109.9400000000000000,9368.7737469373680000,0.98298456647120110000
"Calendar Year (Jan - Dec), 2024",2024-02-21,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097683000,29326.456000000006,1642.2299999999996000,54311.766163454000,0.57020215300673880000
"Calendar Year (Jan - Dec), 2024",2024-02-21,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2395.1000000000010000,4562.4055250176190000,0.52496429501205980000
"Calendar Year (Jan - Dec), 2024",2024-02-20,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9090.4899999999980000,104.6300000000000000,9368.7737469373680000,0.98146462369270730000
"Calendar Year (Jan - Dec), 2024",2024-02-20,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097683000,29018.106000000000,1625.3700000000003000,54311.766163454000,0.56421431606140230000
"Calendar Year (Jan - Dec), 2024",2024-02-20,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2402.1500000000000000,4562.4055250176190000,0.52650953248850530000
"Calendar Year (Jan - Dec), 2024",2024-02-19,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9097.5099999999980000,103.0000000000000000,9368.7737469373680000,0.98203993911237590000
"Calendar Year (Jan - Dec), 2024",2024-02-19,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097683000,28835.535999999996,1607.8800000000000000,54311.766163454000,0.56053095213989110000
"Calendar Year (Jan - Dec), 2024",2024-02-19,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2387.8100000000004000,4562.4055250176190000,0.52336645370662860000
"Calendar Year (Jan - Dec), 2024",2024-02-18,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9063.4500000000000000,100.1800000000000000,9368.7737469373680000,0.97810345809616460000
"Calendar Year (Jan - Dec), 2024",2024-02-18,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097683000,28648.154000000006,1617.6800000000005000,54311.766163454000,0.55726108977773690000
"Calendar Year (Jan - Dec), 2024",2024-02-18,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2404.9400000000005000,4562.4055250176190000,0.52712105200046040000
"Calendar Year (Jan - Dec), 2024",2024-02-17,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9077.3300000000020000,97.4500000000000000,9368.7737469373680000,0.97929358183072980000
"Calendar Year (Jan - Dec), 2024",2024-02-17,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097683000,28499.549999999990,1630.2800000000000000,54311.766163454000,0.55475695467760620000
"Calendar Year (Jan - Dec), 2024",2024-02-17,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2369.7999999999997000,4562.4055250176190000,0.51941897470651700000
"Calendar Year (Jan - Dec), 2024",2024-02-16,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9077.3600000000000000,76.2899999999999900,9368.7737469373680000,0.97703821730056270000
"Calendar Year (Jan - Dec), 2024",2024-02-16,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097683000,28483.904000000002,1631.9099999999999000,54311.766163454000,0.55449907317255900000
"Calendar Year (Jan - Dec), 2024",2024-02-16,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2359.0600000000004000,4562.4055250176190000,0.51706495335942120000
"Calendar Year (Jan - Dec), 2024",2024-02-15,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9041.3000000000000000,69.4300000000000000,9368.7737469373680000,0.97245704145414740000
"Calendar Year (Jan - Dec), 2024",2024-02-15,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097683000,28372.024000000000,1615.9900000000000000,54311.766163454000,0.55214562365270150000
"Calendar Year (Jan - Dec), 2024",2024-02-15,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2346.9100000000000000,4562.4055250176190000,0.51440188451703600000
"Calendar Year (Jan - Dec), 2024",2024-02-14,DCB,Pithead,18,40320.000000000000,551.1043380551394000,9008.1100000000000000,61.9599999999999940,9368.7737469373680000,0.96811709248128510000
"Calendar Year (Jan - Dec), 2024",2024-02-14,DCB,Non-Pithead,148,149900.500000000000,2088.9140832097683000,28289.599999999990,1597.0299999999997000,54311.766163454000,0.55027873536748460000
"Calendar Year (Jan - Dec), 2024",2024-02-14,ICB,Non-Pithead,16,17555.0000000000000000,175.4771355776007600,0.00000000000000000000,2310.8300000000000000,4562.4055250176190000,0.50649377555956640000
"Calendar Year (Jan - Dec), 2024",2024-02-13,DCB,Pithead,18,40320.000000000000,551.1043380551394000,8968.0000000000020000,55.2400000000000000,9368.7737469373680000,0.96311857279611210000
